Staffing Industry Analysts,Junior Data Analyst - Entry Level,"Data Collection and Cleaning: Assist in the collection and organization of data from various sources.Participate in data cleaning and preprocessing activities to ensure data accuracy. Data Analysis: Utilize statistical methods and tools to assist in the analysis of datasets. Work with GSP team members to identify trends, patterns, and insights in the data. Data Visualization: Support the creation of visualizations and reports for communicating data findings. Collaboration: Collaborate with team members to understand data requirements and provide support in delivering analytical solutions. Learn from experienced team members and actively seek guidance on projects.Report Generation:Learn to summarize and communicatedatainsights in a clear and understandable manner.Continuous Learning: Actively participate in training and development opportunities to enhance skills. Job Qualifications Bachelor's degree in a relevant field (e.g.,Statistics, Mathematics, Computer Science) or equivalent experience. Basic understanding of data analysis concepts and methodologies. Familiarity with data analysis tools such as Power BI and Excel. Strong attention to detail and analytical skills. Good communication skills and the ability to work collaboratively in a team. Eagerness to learn and adapt to new technologies and techniques."
New iTalent Digital,Data Scientist Intern / Remote- Part Time,"Your Role and Responsibilities: Perform accurate and efficient data entry in various systems and databases. Proofread and edit data for correctness, performing updates as necessary. Maintain strict confidentiality of sensitive information. Ensure data backups are correctly performed.Support IT team with other administrative tasks as needed."
New iTalent Digital,Junior Data Analyst - Entry Level,"Data Collection and Cleaning: Assist in the collection and organization of data from various sources.Participate in data cleaning and preprocessing activities to ensure data accuracy. Data Analysis: Utilize statistical methods and tools to assist in the analysis of datasets. Work with GSP team members to identify trends, patterns, and insights in the data. Data Visualization: Support the creation of visualizations and reports for communicating data findings. Collaboration: Collaborate with team members to understand data requirements and provide support in delivering analytical solutions. Learn from experienced team members and actively seek guidance on projects. Report Generation: Learn to summarize and communicatedatainsights in a clear and understandable manner.Continuous Learning: Actively participate in training and development opportunities to enhance skills. Job Qualifications Bachelor's degree in a relevant field (e.g.,Statistics, Mathematics, Computer Science) or equivalent experience. Basic understanding of data analysis concepts and methodologies. Familiarity with data analysis tools such as Power BI and Excel. Strong attention to detail and analytical skills. Good communication skills and the ability to work collaboratively in a team. Eagerness to learn and adapt to new technologies and techniques."
Staffing Industry Analysts,Junior Data Analyst - Entry Level(100% Remote),"Data Collection and Cleaning: Assist in the collection and organization of data from various sources.Participate in data cleaning and preprocessing activities to ensure data accuracy. Data Analysis: Utilize statistical methods and tools to assist in the analysis of datasets. Work with GSP team members to identify trends, patterns, and insights in the data. Data Visualization: Support the creation of visualizations and reports for communicating data findings. Collaboration: Collaborate with team members to understand data requirements and provide support in delivering analytical solutions. Learn from experienced team members and actively seek guidance on projects.  Report Generation: Learn to summarize and communicatedatainsights in a clear and understandable manner.Continuous Learning: Actively participate in training and development opportunities to enhance skills. Job Qualifications Bachelor's degree in a relevant field (e.g.,Statistics, Mathematics, Computer Science) or equivalent experience. Basic understanding of data analysis concepts and methodologies. Familiarity with data analysis tools such as Power BI and Excel. Strong attention to detail and analytical skills. Good communication skills and the ability to work collaboratively in a team. Eagerness to learn and adapt to new technologies and techniques."
Yelp,"Entry Level Software Engineer - Data Backend (Remote, Canada)","We're looking for entry-level engineers who are eager to learn and contribute to building elegant, scalable systems. You'll have the opportunity to work with SQL and NoSQL data stores, data warehouses, batch processing, and stream processing solutions. Join us in leveraging machine learning across Yelp to address significant business challenges, improve user experiences, facilitate data-driven decisions, and maintain the reliability of Yelp's content. What You'll Do: Contribute to building systems that can effectively store and crunch terabytes of data. Support the infrastructure that empowers millions of Yelp’s users to make the best decisions. Engage with diverse challenges such as personalizing ads and search ranking, AI telephony and chatbots, advertiser retention and churn prevention, data-driven storytelling, clickstream analytics, content type classification, delivering personalized recommended businesses to users and sophisticated bot detection. Collaborate with cross functional teams, including software engineers, product managers and data scientists to identify and use the most relevant consumer and business data. Develop expertise in cutting-edge infrastructure for machine learning or data analytics or product feature use cases. Learn the fine art of balancing scale, latency and availability depending on the problem. What It Takes To Succeed: Good coding skills in Python or equivalent (ideally Java or C++). A passion for architecting large systems with elegant interfaces that can scale easily.A hunger for tracking down root causes—no matter how deep it takes you—and fixing them in systematic ways. Understanding of building data pipelines to train and deploy machine learning models and/or ETL pipelines for metrics and analytics or product feature use cases. Exposure to some of the following technologies: Apache Spark, AWS Redshift, AWS S3, Cassandra (and other NoSQL systems), AWS Athena, Apache Kafka, Apache Flink, Java, AWS and service oriented architecture."
Yelp,"Entry Level Software Engineer - Data Backend (Remote, Canada)","We're looking for entry-level engineers who are eager to learn and contribute to building elegant, scalable systems. You'll have the opportunity to work with SQL and NoSQL data stores, data warehouses, batch processing, and stream processing solutions. Join us in leveraging machine learning across Yelp to address significant business challenges, improve user experiences, facilitate data-driven decisions, and maintain the reliability of Yelp's content. What You'll Do: Contribute to building systems that can effectively store and crunch terabytes of data. Support the infrastructure that empowers millions of Yelp’s users to make the best decisions. Engage with diverse challenges such as personalizing ads and search ranking, AI telephony and chatbots, advertiser retention and churn prevention, data-driven storytelling, clickstream analytics, content type classification, delivering personalized recommended businesses to users and sophisticated bot detection. Collaborate with cross functional teams, including software engineers, product managers and data scientists to identify and use the most relevant consumer and business data. Develop expertise in cutting-edge infrastructure for machine learning or data analytics or product feature use cases. Learn the fine art of balancing scale, latency and availability depending on the problem. What It Takes To Succeed: Good coding skills in Python or equivalent (ideally Java or C++). A passion for architecting large systems with elegant interfaces that can scale easily.A hunger for tracking down root causes—no matter how deep it takes you—and fixing them in systematic ways. Understanding of building data pipelines to train and deploy machine learning models and/or ETL pipelines for metrics and analytics or product feature use cases. Exposure to some of the following technologies: Apache Spark, AWS Redshift, AWS S3, Cassandra (and other NoSQL systems), AWS Athena, Apache Kafka, Apache Flink, Java, AWS and service oriented architecture."
Yelp,"Entry Level Software Engineer - Data Backend (Remote, Canada)","We're looking for entry-level engineers who are eager to learn and contribute to building elegant, scalable systems. You'll have the opportunity to work with SQL and NoSQL data stores, data warehouses, batch processing, and stream processing solutions. Join us in leveraging machine learning across Yelp to address significant business challenges, improve user experiences, facilitate data-driven decisions, and maintain the reliability of Yelp's content. What You'll Do: Contribute to building systems that can effectively store and crunch terabytes of data. Support the infrastructure that empowers millions of Yelp’s users to make the best decisions. Engage with diverse challenges such as personalizing ads and search ranking, AI telephony and chatbots, advertiser retention and churn prevention, data-driven storytelling, clickstream analytics, content type classification, delivering personalized recommended businesses to users and sophisticated bot detection. Collaborate with cross functional teams, including software engineers, product managers and data scientists to identify and use the most relevant consumer and business data. Develop expertise in cutting-edge infrastructure for machine learning or data analytics or product feature use cases. Learn the fine art of balancing scale, latency and availability depending on the problem. What It Takes To Succeed: Good coding skills in Python or equivalent (ideally Java or C++). A passion for architecting large systems with elegant interfaces that can scale easily.A hunger for tracking down root causes—no matter how deep it takes you—and fixing them in systematic ways. Understanding of building data pipelines to train and deploy machine learning models and/or ETL pipelines for metrics and analytics or product feature use cases. Exposure to some of the following technologies: Apache Spark, AWS Redshift, AWS S3, Cassandra (and other NoSQL systems), AWS Athena, Apache Kafka, Apache Flink, Java, AWS and service oriented architecture."
Yelp,"Entry Level Software Engineer - Data Backend (Remote, Canada)","We're looking for entry-level engineers who are eager to learn and contribute to building elegant, scalable systems. You'll have the opportunity to work with SQL and NoSQL data stores, data warehouses, batch processing, and stream processing solutions. Join us in leveraging machine learning across Yelp to address significant business challenges, improve user experiences, facilitate data-driven decisions, and maintain the reliability of Yelp's content. What You'll Do: Contribute to building systems that can effectively store and crunch terabytes of data. Support the infrastructure that empowers millions of Yelp’s users to make the best decisions. Engage with diverse challenges such as personalizing ads and search ranking, AI telephony and chatbots, advertiser retention and churn prevention, data-driven storytelling, clickstream analytics, content type classification, delivering personalized recommended businesses to users and sophisticated bot detection. Collaborate with cross functional teams, including software engineers, product managers and data scientists to identify and use the most relevant consumer and business data. Develop expertise in cutting-edge infrastructure for machine learning or data analytics or product feature use cases. Learn the fine art of balancing scale, latency and availability depending on the problem. What It Takes To Succeed: Good coding skills in Python or equivalent (ideally Java or C++). A passion for architecting large systems with elegant interfaces that can scale easily.A hunger for tracking down root causes—no matter how deep it takes you—and fixing them in systematic ways. Understanding of building data pipelines to train and deploy machine learning models and/or ETL pipelines for metrics and analytics or product feature use cases. Exposure to some of the following technologies: Apache Spark, AWS Redshift, AWS S3, Cassandra (and other NoSQL systems), AWS Athena, Apache Kafka, Apache Flink, Java, AWS and service oriented architecture."
Yelp,"Entry Level Software Engineer - Data Backend (Remote, Canada)","We're looking for entry-level engineers who are eager to learn and contribute to building elegant, scalable systems. You'll have the opportunity to work with SQL and NoSQL data stores, data warehouses, batch processing, and stream processing solutions. Join us in leveraging machine learning across Yelp to address significant business challenges, improve user experiences, facilitate data-driven decisions, and maintain the reliability of Yelp's content. What You'll Do: Contribute to building systems that can effectively store and crunch terabytes of data. Support the infrastructure that empowers millions of Yelp’s users to make the best decisions. Engage with diverse challenges such as personalizing ads and search ranking, AI telephony and chatbots, advertiser retention and churn prevention, data-driven storytelling, clickstream analytics, content type classification, delivering personalized recommended businesses to users and sophisticated bot detection. Collaborate with cross functional teams, including software engineers, product managers and data scientists to identify and use the most relevant consumer and business data. Develop expertise in cutting-edge infrastructure for machine learning or data analytics or product feature use cases. Learn the fine art of balancing scale, latency and availability depending on the problem. What It Takes To Succeed: Good coding skills in Python or equivalent (ideally Java or C++). A passion for architecting large systems with elegant interfaces that can scale easily.A hunger for tracking down root causes—no matter how deep it takes you—and fixing them in systematic ways. Understanding of building data pipelines to train and deploy machine learning models and/or ETL pipelines for metrics and analytics or product feature use cases. Exposure to some of the following technologies: Apache Spark, AWS Redshift, AWS S3, Cassandra (and other NoSQL systems), AWS Athena, Apache Kafka, Apache Flink, Java, AWS and service oriented architecture."
Yelp,"Entry Level Software Engineer - Data Backend (Remote, Canada)","We're looking for entry-level engineers who are eager to learn and contribute to building elegant, scalable systems. You'll have the opportunity to work with SQL and NoSQL data stores, data warehouses, batch processing, and stream processing solutions. Join us in leveraging machine learning across Yelp to address significant business challenges, improve user experiences, facilitate data-driven decisions, and maintain the reliability of Yelp's content. What You'll Do: Contribute to building systems that can effectively store and crunch terabytes of data. Support the infrastructure that empowers millions of Yelp’s users to make the best decisions. Engage with diverse challenges such as personalizing ads and search ranking, AI telephony and chatbots, advertiser retention and churn prevention, data-driven storytelling, clickstream analytics, content type classification, delivering personalized recommended businesses to users and sophisticated bot detection. Collaborate with cross functional teams, including software engineers, product managers and data scientists to identify and use the most relevant consumer and business data. Develop expertise in cutting-edge infrastructure for machine learning or data analytics or product feature use cases. Learn the fine art of balancing scale, latency and availability depending on the problem. What It Takes To Succeed: Good coding skills in Python or equivalent (ideally Java or C++). A passion for architecting large systems with elegant interfaces that can scale easily.A hunger for tracking down root causes—no matter how deep it takes you—and fixing them in systematic ways. Understanding of building data pipelines to train and deploy machine learning models and/or ETL pipelines for metrics and analytics or product feature use cases. Exposure to some of the following technologies: Apache Spark, AWS Redshift, AWS S3, Cassandra (and other NoSQL systems), AWS Athena, Apache Kafka, Apache Flink, Java, AWS and service oriented architecture."
Maneva,Junior AI Engineer,"This entry-level role is ideal for someone eager to learn and grow in AI applications for real-world manufacturing challenges. The position involves contributing to training vision models for tasks such as classification, object detection, and segmentation, assisting with MLOps workflows, and monitoring model performance. The ideal candidate is passionate about learning and applying AI technologies, thrives in hands-on environments, and is motivated to grow alongside an innovative team. Main Responsibilities: Assist in developing and training vision-based AI models, including tasks like classification, object detection, and segmentation. Collaborate on building and maintaining pipelines for deploying AI/ML models in production. Support the integration and use of MLOps tools to streamline workflows. Monitor deployed models, collect performance data, and suggest optimizations. Help troubleshoot and update AI models under guidance to ensure reliability and performance. Contribute to cross-functional discussions to align AI applications with manufacturing needs. Assist with cloud platform setups (AWS, Azure, GCP) for training and deployment under supervision. Document workflows and best practices for reproducibility and operational improvements. Qualifications Education: Bachelor’s or Master’s degree in Computer Science, Machine Learning,DataScience, Engineering, or a related field. Relevant certifications or coursework in MLOps or AI model development is a plus. Experience: Familiarity with computer vision or machine learning through academic projects, internships, or personal initiatives. Exposure to Python, Linux, and basic AI/ML libraries (e.g., PyTorch, TensorFlow, or Scikit-learn).Any experience with real-world AI applications or internships in industrial or manufacturing environments is a bonus. Technical Skills: Proficiency in Python, Linux, Docker, and Git. Familiarity with machine learning workflows and tools for training and fine-tuning models. Familiarity with cloud platforms (AWS, Azure, GCP) for compute, storage, and AI services.Experience with ARM devices such as Jetson or Raspberry Pi is a plus. Eagerness to learn and gain hands-on experience with neural networks and MLOps. Soft Skills: Strong desire to learn and grow in the field of AI. Problem-solving mindset with attention to detail. Excellent communication and collaboration skills. Willingness to adapt and contribute in a fast-paced environment."
